Fecha,Open,High,Low,Close,Volume,rsi_14,macd,macd_signal,macd_hist,ema_10,ema_20,ema_50,daily_return,weekly_return,volatility_20d,Empresa,sector,industry
2024-07-01,210.2685364182596,215.6419868499251,210.09999821846176,214.88851928710938,60402900,50.0,0.0,0.0,0.0,214.88851928710938,214.88851928710938,214.88851928710938,,,,AAPL,Technology,Consumer Electronics
2024-07-02,214.29369867156123,218.48738234159504,213.2527281692765,218.37832641601562,58046200,50.0,0.27838917267632723,0.05567783453526545,0.22271133814106178,215.52302967418325,215.22088187081474,215.02537446863514,0.016240081789774763,,,AAPL,Technology,Consumer Electronics
2024-07-03,218.11063203893852,219.64732360839844,217.1489612238199,219.64732360839844,37369800,50.0,0.5945583669270036,0.1634539410136131,0.4311044259133905,216.272901298586,215.6424477505846,215.20662737607682,0.005811003377530044,,,AAPL,Technology,Consumer Electronics
2024-07-05,219.74645469045154,224.50523511983306,219.74645469045154,224.39617919921875,60412400,50.0,1.2143197671953772,0.3736271062499659,0.8406926609454113,217.74986091688285,216.47613645997833,215.5670019573765,0.021620366289037518,,,AAPL,Technology,Consumer Electronics
2024-07-08,225.13973799267995,225.89322076278884,221.3327197032473,225.8634796142578,59085900,50.0,1.8030990196914445,0.6595214889382617,1.1435775307531828,219.22506431640556,217.3701691413383,215.97078539490127,0.006538883238900395,,,AAPL,Technology,Consumer Electronics
2024-07-09,225.97249032455397,227.42986691954613,224.4258902958465,226.71604919433594,48076100,50.0,2.3118564174117466,0.9899884746329587,1.321867942778788,220.58706156693836,218.2602529559095,216.39216828899674,0.003774711969966038,0.0550403062316418,,AAPL,Technology,Consumer Electronics
2024-07-10,227.3307677065015,231.0783037422216,227.28119408246098,230.97915649414062,62627700,50.0,3.024186511707967,1.3968280820479604,1.6273584296600065,222.47653337188422,219.4715771024077,216.96420704213966,0.018803729665165747,0.057701834632252647,,AAPL,Technology,Consumer Electronics
2024-07-11,229.40280147827102,230.39421338925845,223.83107137940016,225.61561584472656,64710600,50.0,3.119955433933171,1.7414535524250025,1.3785018815081687,223.04727563967373,220.05672364929524,217.30347797557445,-0.023220885948425973,0.027172160071336826,,AAPL,Technology,Consumer Electronics
2024-07-12,226.9540066999144,230.64206011910093,226.71606240173486,228.56008911132812,53046500,50.0,3.3943197739361324,2.072026796727229,1.3222929772089036,224.04960536179271,220.86656797901267,217.74491370638833,0.013050839834721328,0.018556064220739854,,AAPL,Technology,Consumer Electronics
2024-07-15,234.44910163171727,235.1926606193721,231.0882156126273,232.386962890625,62631300,50.0,3.875873563752009,2.4327961501321846,1.4430774136198243,225.5654885488531,221.96374844678527,218.3191117136133,0.016743403426977332,0.028882417323545795,,AAPL,Technology,Consumer Electronics
2024-07-16,232.98179160349451,234.24088892580107,230.3347237014565,232.8033447265625,43234300,50.0,4.242205442243801,2.794678008554508,1.447527433689293,226.8814623993457,222.99609094962122,218.887120851376,0.0017917607371695787,0.02684986596166672,,AAPL,Technology,Consumer Electronics
2024-07-17,227.47946461019197,229.47221227385296,224.69359950369105,226.91436767578125,57345900,50.0,4.011097429122373,3.037961892668081,0.9731355364542917,226.88744517687945,223.36926016163648,219.20191484448995,-0.025295929737169875,-0.01759807629422394,,AAPL,Technology,Consumer Electronics
2024-07-18,228.3023336745397,228.46096321097224,220.36112971273346,222.2547149658203,66034600,50.0,3.4126091977725537,3.1128913536889757,0.29971784408357793,226.0451305930505,223.26311300013018,219.32163249630685,-0.020534850911770874,-0.01489657914999687,,AAPL,Technology,Consumer Electronics
2024-07-19,222.88923571935766,224.8522270905052,221.36245288688534,222.38360595703125,49151500,50.0,2.9150999309395615,3.073333069139093,-0.15823313819953144,225.37939884104696,223.17935042459695,219.4417098869235,0.000579924665403686,-0.027023454437351102,,AAPL,Technology,Consumer Electronics
2024-07-22,225.06039989232605,225.8237912569016,221.17406723372827,222.03660583496094,48201800,70.77362356378603,2.4644120348688716,2.951548862285049,-0.48713682741617736,224.77161829448588,223.07051760653636,219.54347051233674,-0.001560367368705018,-0.044539318931310024,,AAPL,Technology,Consumer Electronics
2024-07-23,222.44308791792702,224.9910238167192,220.76759935066607,223.0775909423828,39960300,71.53360535875937,2.1662660617888037,2.7944923021858,-0.6282262403969963,224.46361332137622,223.07119125756935,219.68206347037776,0.004688349038246553,-0.04177669266566164,,AAPL,Technology,Consumer Electronics
2024-07-24,222.0762625279836,222.86939506256107,215.2652677100796,216.66314697265625,61777600,61.00661290128767,1.3962955831662498,2.5148529583818897,-1.11855737521564,223.04534671251804,222.46090132567286,219.56367458811417,-0.0287543179152554,-0.045176604761193895,,AAPL,Technology,Consumer Electronics
2024-07-25,217.04981289629316,218.95333716975932,212.77682977395946,215.6221923828125,51391200,59.476934187162186,0.6940910462161582,2.1507005759487434,-1.4566095297325852,221.69568228893522,221.8095957120671,219.40910665849452,-0.004804483846877372,-0.0298419882072144,,AAPL,Technology,Consumer Electronics
2024-07-26,216.82181578900727,217.60503979261497,214.15491491126926,216.0881805419922,41601300,59.96092280646091,0.17319377160330873,1.7551992150796565,-1.5820054434763478,220.67613651676373,221.26469902920283,219.27887426176895,0.002161132646088637,-0.028308855717788184,,AAPL,Technology,Consumer Electronics
